species,family,genus,epithet
Abies concolor,Pinaceae,Abies,concolor
Acer circinatum,Sapindaceae,Acer,circinatum
Acer macrophyllum,Sapindaceae,Acer,macrophyllum
Achlys triphylla,Berberidaceae,Achlys,triphylla
Adenocaulon bicolor,Asteraceae,Adenocaulon,bicolor
Amelanchier alnifolia ssp. semiintegrifolia,Rosaceae,Amelanchier,alnifolia ssp. semiintegrifolia
Amelanchier utahensis,Rosaceae,Amelanchier,utahensis
Aralia californica,Araliaceae,Aralia,californica
Arbutus menziesii,Ericaceae,Arbutus,menziesii
Asarum caudatum,Aristolochiaceae,Asarum,caudatum
Asarum hartwegii,Aristolochiaceae,Asarum,hartwegii
Aster radulinus,Asteraceae,Aster,radulinus
Berberis aquifolium var. repens,Berberidaceae,Berberis,aquifolium var. repens
Berberis nervosa,Berberidaceae,Berberis,nervosa
Bromus laevipes,Poaceae,Bromus,laevipes
Calocedrus decurrens,Cupressaceae,Calocedrus,decurrens
Campanula prenanthoides,Campanulaceae,Campanula,prenanthoides
Carex mendocinensis,Cyperaceae,Carex,mendocinensis
Ceanothus integerrimus,Rhamnaceae,Ceanothus,integerrimus
Chimaphila menziesii,Ericaceae,Chimaphila,menziesii
Chimaphila umbellata,Ericaceae,Chimaphila,umbellata
Chrysolepis chrysophylla,Fagaceae,Chrysolepis,chrysophylla
Clintonia uniflora,Liliaceae,Clintonia,uniflora
Collomia heterophylla,Polemoniaceae,Collomia,heterophylla
Coptis laciniata,Ranunculaceae,Coptis,laciniata
Cornus nuttallii,Cornaceae,Cornus,nuttallii
Corylus cornuta,Betulaceae,Corylus,cornuta
Cupressus lawsoniana,Cupressaceae,Cupressus,lawsoniana
Elymus glaucus,Poaceae,Elymus,glaucus
Festuca idahoensis,Poaceae,Festuca,idahoensis
Festuca occidentalis,Poaceae,Festuca,occidentalis
Fragaria vesca,Rosaceae,Fragaria,vesca
Fraxinus latifolia,Oleaceae,Fraxinus,latifolia
Galium aparine,Rubiaceae,Galium,aparine
Gaultheria shallon,Ericaceae,Gaultheria,shallon
Glyceria elata,Poaceae,Glyceria,elata
Goodyera oblongifolia,Orchidaceae,Goodyera,oblongifolia
Hieracium albiflorum,Asteraceae,Hieracium,albiflorum
Hierochloe occidentalis,Poaceae,Hierochloe,occidentalis
Holodiscus discolor,Rosaceae,Holodiscus,discolor
Iris chrysophylla,Iridaceae,Iris,chrysophylla
Linnaea borealis var. longiflora,Caprifoliaceae,Linnaea,borealis var. longiflora
Lithocarpus densiflorus,Fagaceae,Lithocarpus,densiflorus
Nemophila parviflora,Boraginaceae,Nemophila,parviflora
Osmorhiza occidentalis,Apiaceae,Osmorhiza,occidentalis
Paxistima myrsinites,Celastraceae,Paxistima,myrsinites
Petasites frigidus var. palmatus,Asteraceae,Petasites,frigidus var. palmatus
Philadelphus lewisii,Hydrangeaceae,Philadelphus,lewisii
Pinus attenuata,Pinaceae,Pinus,attenuata
Pinus lambertiana,Pinaceae,Pinus,lambertiana
Pinus ponderosa,Pinaceae,Pinus,ponderosa
Polystichum munitum,Dryopteridaceae,Polystichum,munitum
Prosartes hookeri,Liliaceae,Prosartes,hookeri
Pseudotsuga menziesii var. menziesii,Pinaceae,Pseudotsuga,menziesii var. menziesii
Pteridium aquilinum,Dennstaedtiaceae,Pteridium,aquilinum
Quercus chrysolepis,Fagaceae,Quercus,chrysolepis
Quercus kelloggii,Fagaceae,Quercus,kelloggii
Rhamnus purshiana,Rhamnaceae,Rhamnus,purshiana
Rhododendron macrophyllum,Ericaceae,Rhododendron,macrophyllum
Rhododendron occidentale,Ericaceae,Rhododendron,occidentale
Rosa gymnocarpa,Rosaceae,Rosa,gymnocarpa
Rubus parviflorus,Rosaceae,Rubus,parviflorus
Rubus ursinus,Rosaceae,Rubus,ursinus
Smilacina racemosa,Asparagaceae,Smilacina,racemosa
Smilacina stellata,Asparagaceae,Smilacina,stellata
Symphoricarpos albus var. laevigatus,Caprifoliaceae,Symphoricarpos,albus var. laevigatus
Synthyris reniformis,Plantaginaceae,Synthyris,reniformis
Tiarella trifoliata ssp. unifoliata,Saxifragaceae,Tiarella,trifoliata ssp. unifoliata
Trientalis latifolia,Primulaceae,Trientalis,latifolia
Trisetum canescens,Poaceae,Trisetum,canescens
Vaccinium membranaceum,Ericaceae,Vaccinium,membranaceum
Vaccinium parvifolium,Ericaceae,Vaccinium,parvifolium
Vancouveria hexandra,Berberidaceae,Vancouveria,hexandra
Whipplea modesta,Hydrangeaceae,Whipplea,modesta
Xerophyllum tenax,Melanthiaceae,Xerophyllum,tenax
